Name,Year,Producer
The Hunt for the Unicorn Killer,1999,William A. Graham
Behind the Mask,1999,Tom McLoughlin
The Versace Murder,1998,Menahem Golan
Lover's Prayer,1999,Reverge Anselmo
Earthly Possessions,1999,James Lapine
No More Baths,1998,Timothy J. Nelson
Route 9,1998,David MacKay
One Take,1999,Dan Wachspress
Blood and Tears,1999,"Jose Quiroz, Ed Quiroz"
One Man's Hero,1999,Lance Hool
Possums,1998,Max Burnett
Lethal Vows,1999,Paul Schneider
The Patron Saint of Liars,1998,Stephen Gyllenhaal
The Devil's Arithmetic,1999,Donna Deitch
Slam,1998,Marc Levin
A Stranger in the Kingdom,1999,Jay Craven
Wild Flower,1999,David Michael Latt
Getting Off,1998,
The Hunter's Moon,1999,Richard C. Weinman
The General's Daughter,1999,Simon West
Park Day,1998,Sterling Macer Jr
Gift of Love,1999,John Korty
Windhorse,1998,Paul Wagner
Bonanno: A Godfather's Story,1999,Michel Poulette
In a Class of His Own,1999,Robert Munic
A Dog of Flanders,1999,Kevin Brodie
Land of the Free,1998,Jerry Jameson
Blue Ridge Fall,1999,James Rowe
Uncorked,1998,John Huddles
Drowning on Dry Land,1999,Carl Colpaert
Ricky Nelson: Original Teen Idol,1999,Sturla Gunnarsson
The Jack Bull,1999,John Badham
River Red,1998,Eric Drilling
Origin of the Species,1998,Andres Heinz
The Haunting of Hell House,1999,Mitch Marcus
Without Limits,1998,Robert Towne
Sea People,1999,Vic Sarin
Uninvited Guest,1999,Timothy Wayne Folsome
Agnes Browne,1999,Anjelica Huston
Magdalen,1998,Andrew Repasky McElhinney
The Corndog Man,1999,Andrew Shea
Waterproof,1999,Barry Berman
Let the Devil Wear Black,1999,Stacy Title
The Velocity of Gary,1999,Dan Ireland
Second Chances,1998,James Fargo
The Magical Legend of the Leprechauns,1999,John Henderson
Dance with Me,1998,Randa Haines
Chasing Secrets,1999,Bruce Pittman
Brotherhood of Murder,1999,Martin Bell
I'm Losing You,1998,Bruce Wagner
And the Beat Goes On: The Sonny and Cher Story,1999,David Burton Morris
Love from Ground Zero,1998,Stephen Grynberg
In Dreams,1999,Neil Jordan
Diamonds,1999,John Mallory Asher
Trans,1998,Julian Goldberger
Vampires,1998,John Carpenter
The Jesse Ventura Story,1999,David Jackson
October 22,1998,Richard Schenkman
Little Boy Blue,1998,Antonio Tibaldi
Mr. Rock 'n Roll: The Alan Freed Story,1999,Andy Wolk
Spark,1998,Garret Williams
Sydney – A Story of a City,1999,"Bruce Beresford, Geoff Burton"
Rocky Marciano,1999,Charles Winkler
Jackie's Back,1999,Robert Townsend
A Bright Shining Lie,1998,Terry George
Grace & Glorie,1998,Arthur Allan Seidelman
Assignment Berlin,1998,Tony Randel
The Minus Man,1999,Hampton Fancher
Evidence of Blood,1998,Andrew Mondshein
The Tempest,1998,Jack Bender
Cousin Bette,1998,Des McAnuff
Archibald the Rainbow Painter,1998,Les Landau
Sugar Town,1999,"Allison Anders, Kurt Voss"
Big Daddy,1999,Dennis Dugan
Halloween H20: 20 Years Later,1998,Steve Miner
The Defenders: Taking the First,1998,Andy Wolk
In the Company of Spies,1999,Tim Matheson
When Husbands Cheat,1998,Richard A. Colla
The Garbage Picking Field Goal Kicking Philadelphia Phenomenon,1998,
Louis & Frank,1998,Alexandre Rockwell
Fight Club,1999,David Fincher
Just Looking,1999,Jason Alexander
O.K. Garage,1998,Brandon Cole
Cold Feet,1999,Brian Asa Evans
A Cooler Climate,1999,Susan Seidelman
Esther,1999,Raffaele Mertes
The Christmas Wish,1998,Ian Barry
A Chance of Snow,1998,Tony Bill
Babylon 5: The River of Souls,1998,Janet Greek
Tuesdays with Morrie,1999,Mick Jackson
Loanshark,1999,Jay Jennings
Uninvited,1999,Carlo Gabriel Nero
Small Vices,1999,Robert Markowitz
Last Night at the Alamo,1998,Eagle Pennell
A House Divided,1998,Kenneth Brady
My Own Country,1998,Mira Nair
Running Free,1999,Sergei Bodrov
The Tiger Woods Story,1998,LeVar Burton
Loyal Opposition: Terror in the White House,1998,Mark Sobel
Above Freezing,1998,Frank Todaro
Cremaster 2,1999,Matthew Barney
One,1998,"Tony Barbieri, Tony Barbieri"
Homegrown,1998,Stephen Gyllenhaal
Babylon 5: In the Beginning,1998,Mike Vejar
Lansky,1999,John McNaughton
Babylon 5: A Call to Arms,1999,Mike Vejar
Babylon 5: Thirdspace,1998,Jesús Salvador Treviño
Provocateur,1998,Jim Donovan
Phantoms,1998,Joe Chappelle
The Long Road Home,1999,Craig Clyde
Somewhere in the City,1998,Ramin Niami
The Dogwalker,1999,Paul Duran
The Big Hustle,1999,Leland Price
Telling You,1998,Robert DeFranco
Fastlane,1999,"Jefferson Langley, Drew Bell"
Illuminata,1998,John Turturro
A Midsummer Night's Dream,1999,Michael Hoffman
When It's Over,1998,Richard Mancuso
Dead Broke,1998,Edward Vilga
Pups,1999,Ash Baron-Cohen
To Serve and Protect,1999,Jean de Segonzac
Free of Eden,1998,Leon Ichaso
Desperate But Not Serious,1999,Bill Fishman
Mulan,1998,"Barry Cook, Tony Bancroft"
Tarzan,1999,"Chris Buck, Kevin Lima"
Enemy of the State,1998,Tony Scott
Fallen,1998,Gregory Hoblit
The Parent Trap,1998,Nancy Meyers
Sphere,1998,Barry Levinson
But I'm a Cheerleader,1999,Jamie Babbit
The Corruptor,1999,James Foley
Poodle Springs,1998,Bob Rafelson
The Boondock Saints,1999,Troy Duffy
Bhopal Express,1999,Mahesh Mathai
A Reasonable Man,1999,Gavin Hood
Airspeed,1998,Robert Tinnell
Arresting Gena,1998,Hannah Weyer
Brink!,1998,Greg Beeman
Bullet on a Wire,1998,Jim Sikora
Chapters,1998,David Wexler
Cider with Rosie,1999,Charles Beeson
Cleopatra's Second Husband,1998,Jon Reiss
Da Game of Life,1998,"Michael Martin, Master P, Snoop Dogg"
Dallas: War of the Ewings,1998,Michael Preece
Dreaming of Joseph Lees,1999,Eric Styles
Every Mother's Worst Fear,1998,Bill L. Norton
Everything That Rises,1998,Dennis Quaid
Exiled: A Law & Order Movie,1998,Jean de Segonzac
Going Nomad,1998,Art Jones
Gunshy,1998,Jeff Celentano
Heaven or Vegas,1999,Gregory C. Haynes
If You Believe,1999,Alan Metzger
"Island, Alicia",1998,Ken Yunome
Luminous Motion,1998,Bette Gordon
Michael Jordan: An American Hero,1999,Alan Metzger
Monday After the Miracle,1998,Daniel Petrie
My Life So Far,1999,Hugh Hudson
P.T. Barnum,1999,Simon Wincer
Perfect Prey,1998,Howard McCain
Private Passions,1999,Paul Barresi
Something to Believe In,1998,John Hough
Soundman,1998,Steven Ho
The American Way,1999,Kevin Clarke
The Corporate Ladder,1998,Jack Simmons
The Homeboy,1999,David Gebroe
The Lost Son,1999,Chris Menges
Valerie Flake,1999,John Putch
When Justice Fails,1999,Allan A. Goldstein
Wrestling with Alligators,1998,Laurie Weltz
Black Thunder,1998,Rick Jacobson
Extramarital,1998,Yael Russcol
Implicated,1999,Irving Belateche
Soldier,1998,Paul W. S. Anderson
Notting Hill,1999,Roger Michell
"2 Little, 2 Late",1999,
Our Guys: Outrage at Glen Ridge,1999,Guy Ferland
The Last Leprechaun,1998,David Lister
